cname,anndats_act
APPLE INC,25jan2010
APPLE INC,20apr2010
APPLE INC,20jul2010
APPLE INC,18oct2010
APPLE INC,18jan2011
APPLE INC,23jul2013
APPLE INC,28oct2013
APPLE INC,27jan2014
APPLE INC,23apr2014
APPLE INC,22jul2014
APPLE INC,20oct2014
APPLE INC,27jan2015
APPLE INC,27apr2015
APPLE INC,21jul2015
GOOGLE,13oct2011
GOOGLE,19jan2012
GOOGLE,12apr2012
GOOGLE,19jul2012
GOOGLE,18oct2012
GOOGLE,22jan2013
GOOGLE,18apr2013
GOOGLE,18jul2013
GOOGLE,17oct2013
GOOGLE,30jan2014
NETFLIX INC.,17jul2003
NETFLIX INC.,15oct2003
NETFLIX INC.,21jan2004
NETFLIX INC.,15apr2004
NETFLIX INC.,15jul2004
NETFLIX INC.,14oct2004
NETFLIX INC.,24jan2005
NETFLIX INC.,21apr2005
NETFLIX INC.,25jul2005
